building_id,building_name,level,cost_currency,cost_amount,build_time_min,effect_type,effect_value,prereq_building_id,prereq_level,notes
town_hall,Town Hall,1,gold,0,0,construction_slots,1,,,"starter building"
town_hall,Town Hall,2,gold,500,10,construction_slots,1,town_hall,1,
town_hall,Town Hall,3,gold,1200,20,construction_slots,2,town_hall,2,
town_hall,Town Hall,4,gold,2500,40,construction_slots,2,town_hall,3,
town_hall,Town Hall,5,gold,5000,90,construction_slots,3,town_hall,4,
lumberyard,Lumberyard,1,wood,200,5,wood_income_per_hour,30,town_hall,1,
lumberyard,Lumberyard,2,wood,500,10,wood_income_per_hour,50,town_hall,2,
lumberyard,Lumberyard,3,wood,900,20,wood_income_per_hour,80,town_hall,3,
lumberyard,Lumberyard,4,wood,1500,40,wood_income_per_hour,120,town_hall,4,
lumberyard,Lumberyard,5,wood,2400,80,wood_income_per_hour,170,town_hall,5,
quarry,Quarry,1,stone,200,5,stone_income_per_hour,25,town_hall,2,
quarry,Quarry,2,stone,500,10,stone_income_per_hour,45,town_hall,3,
quarry,Quarry,3,stone,900,20,stone_income_per_hour,70,town_hall,3,
quarry,Quarry,4,stone,1500,40,stone_income_per_hour,105,town_hall,4,
quarry,Quarry,5,stone,2400,80,stone_income_per_hour,150,town_hall,5,
mine,Mine,1,gold,400,10,iron_income_per_hour,10,town_hall,3,
mine,Mine,2,gold,800,20,iron_income_per_hour,20,town_hall,3,
mine,Mine,3,gold,1400,30,iron_income_per_hour,35,town_hall,4,
mine,Mine,4,gold,2200,45,iron_income_per_hour,55,town_hall,5,
mine,Mine,5,gold,3200,70,iron_income_per_hour,80,town_hall,5,
barracks,Barracks,1,gold,300,5,hero_slots,6,town_hall,1,
barracks,Barracks,2,gold,700,10,hero_slots,8,town_hall,2,
barracks,Barracks,3,gold,1200,20,hero_slots,10,town_hall,3,
barracks,Barracks,4,gold,2000,40,hero_slots,12,town_hall,4,
barracks,Barracks,5,gold,3200,60,hero_slots,14,town_hall,5,
workshop,Workshop,1,stone,300,10,craft_slots,1,town_hall,2,
workshop,Workshop,2,stone,700,20,craft_slots,1,town_hall,3,
workshop,Workshop,3,stone,1200,40,craft_slots,2,town_hall,3,
workshop,Workshop,4,stone,2000,60,craft_slots,2,town_hall,4,
workshop,Workshop,5,stone,3200,90,craft_slots,3,town_hall,5,
storage,Storage,1,wood,250,5,storage_cap_bonus,2000,town_hall,1,
storage,Storage,2,wood,600,10,storage_cap_bonus,4000,town_hall,2,
storage,Storage,3,wood,1100,20,storage_cap_bonus,7000,town_hall,3,
storage,Storage,4,wood,1800,40,storage_cap_bonus,11000,town_hall,4,
storage,Storage,5,wood,2800,60,storage_cap_bonus,16000,town_hall,5,
