floor_id,required_power,enemy_power,stamina_cost,base_reward_currency,base_reward_amount,reward_table_id,first_clear_bonus,unlocks,notes
1,80,100,5,gold,60,floor_1_5,"gems:3",,
2,110,130,5,gold,70,floor_1_5,"gems:3",,
3,150,180,5,gold,80,floor_1_5,"gems:3",,
4,200,230,5,gold,90,floor_1_5,"gems:3",,
5,260,300,5,gold,110,floor_1_5,"chest:bronze","Global Map",
6,330,380,6,gold,130,floor_6_10,"gems:5",,
7,410,470,6,gold,150,floor_6_10,"gems:5","PvP Raids",
8,500,570,6,gold,170,floor_6_10,"gems:5",,
9,600,680,6,gold,190,floor_6_10,"gems:5",,
10,720,820,6,gold,220,floor_6_10,"chest:silver","Hard Mode",
11,860,980,7,gold,250,floor_11_15,"gems:7",,
12,1020,1150,7,gold,280,floor_11_15,"gems:7",,
13,1200,1350,7,gold,310,floor_11_15,"gems:7",,
14,1400,1580,7,gold,340,floor_11_15,"gems:7",,
15,1630,1850,7,gold,380,floor_11_15,"chest:gold","Legendary Hunt",
16,1900,2150,8,gold,420,floor_16_20,"gems:10",,
17,2200,2500,8,gold,470,floor_16_20,"gems:10",,
18,2550,2900,8,gold,520,floor_16_20,"gems:10",,
19,2950,3350,8,gold,580,floor_16_20,"gems:10",,
20,3400,3850,8,gold,650,floor_16_20,"chest:premium","Season End",
