table_id,item_id,item_type,min_qty,max_qty,weight,notes
floor_1_5,gold,currency,50,80,60,
floor_1_5,wood,resource,10,20,20,
floor_1_5,stone,resource,8,16,15,
floor_1_5,hero_xp,currency,5,10,5,
floor_6_10,gold,currency,80,120,55,
floor_6_10,wood,resource,15,25,20,
floor_6_10,stone,resource,12,22,15,
floor_6_10,hero_xp,currency,8,12,8,
floor_6_10,hero_shard_common,shard,1,2,2,
floor_11_15,gold,currency,120,180,50,
floor_11_15,wood,resource,20,30,15,
floor_11_15,stone,resource,16,26,15,
floor_11_15,iron,resource,5,10,10,
floor_11_15,hero_xp,currency,12,18,7,
floor_11_15,hero_shard_rare,shard,1,2,3,
floor_16_20,gold,currency,180,260,45,
floor_16_20,wood,resource,25,35,10,
floor_16_20,stone,resource,20,30,10,
floor_16_20,iron,resource,10,18,15,
floor_16_20,hero_xp,currency,15,25,8,
floor_16_20,hero_shard_rare,shard,1,2,8,
floor_16_20,hero_shard_epic,shard,1,1,4,
daily_quest,gold,currency,150,250,50,
daily_quest,gems,currency,5,10,20,
daily_quest,hero_xp,currency,10,20,15,
daily_quest,hero_shard_common,shard,1,2,10,
daily_quest,hero_shard_rare,shard,1,1,5,
pvp_win,pvp_token,currency,10,20,50,
pvp_win,gold,currency,200,300,30,
pvp_win,iron,resource,10,15,10,
pvp_win,hero_shard_rare,shard,1,1,10,
pvp_loss,pvp_token,currency,5,10,60,
pvp_loss,gold,currency,100,150,40,
gacha_basic,hero_common,hero,1,1,70,
gacha_basic,hero_rare,hero,1,1,25,
gacha_basic,hero_epic,hero,1,1,5,
gacha_premium,hero_rare,hero,1,1,60,
gacha_premium,hero_epic,hero,1,1,35,
gacha_premium,hero_legendary,hero,1,1,5,
